index	desired	output	error
584	0.7755	-0.1370	0.9125
585	-0.7830	0.0970	-0.8800
586	1.0977	0.0974	1.0002
587	0.8512	0.0076	0.8435
588	1.2690	0.0503	1.2186
589	-1.3002	0.0456	-1.3457
590	-0.7286	0.0547	-0.7833
591	1.0807	0.2028	0.8779
592	0.9229	0.0872	0.8357
593	0.3558	-0.3352	0.6910
594	1.0487	0.0948	0.9539
595	0.7763	-0.0594	0.8357
596	-0.9467	0.0700	-1.0167
597	1.2484	-0.0756	1.3241
598	1.2301	0.1178	1.1123
599	-0.9942	-0.1912	-0.8030
600	1.1038	0.1526	0.9513
601	0.7470	-0.1460	0.8929
602	1.1266	0.1601	0.9665
603	-0.9708	0.0621	-1.0329
604	0.8063	0.0045	0.8018
605	-0.8955	-0.0125	-0.8830
606	0.5217	-0.1463	0.6681
607	-0.9948	-0.0398	-0.9551
608	1.0240	-0.0497	1.0736
609	0.5627	-0.2559	0.8187
610	-0.8390	0.0258	-0.8649
611	-0.9151	0.0167	-0.9317
612	-0.8057	0.0343	-0.8400
613	-1.2195	-0.1514	-1.0681
614	-0.8610	0.1641	-1.0250
615	1.0464	0.0240	1.0224
616	-1.0064	0.1379	-1.1443
617	1.0383	0.0568	0.9815
618	1.2225	0.2379	0.9846
619	-0.8681	-0.2061	-0.6620
620	-0.7012	0.2109	-0.9121
621	-1.3447	-0.3028	-1.0420
622	0.9755	0.1630	0.8125
623	0.8575	-0.1075	0.9649
624	-0.9972	0.2230	-1.2202
625	1.2033	-0.0178	1.2211
626	0.7328	-0.0744	0.8072
627	-1.0934	-0.1172	-0.9762
628	-0.9483	0.0992	-1.0474
629	-0.8457	0.0770	-0.9227
630	0.8051	0.0098	0.7953
631	1.1355	0.0387	1.0968
632	-0.6703	0.1590	-0.8293
633	1.2650	0.0467	1.2183
634	-1.1466	-0.0336	-1.1129
635	-1.0970	0.0292	-1.1262
636	0.9306	-0.0245	0.9551
637	1.1720	0.1198	1.0522
638	0.9564	0.1241	0.8323
639	1.1492	-0.0119	1.1611
640	1.4830	0.1048	1.3782
641	1.3158	-0.0064	1.3223
642	-1.0041	-0.0918	-0.9123
643	-0.7303	0.0778	-0.8081
644	-0.9333	0.1989	-1.1322
645	-1.1842	-0.0209	-1.1633
646	1.3297	0.2788	1.0509
647	0.7086	-0.0272	0.7358
648	1.0821	0.0376	1.0445
649	0.7533	-0.0841	0.8375
650	1.1907	0.0632	1.1276
651	-1.0524	0.0330	-1.0854
652	1.0320	-0.0038	1.0358
653	1.3031	0.0596	1.2436
654	1.1514	-0.0600	1.2114
655	-0.8684	-0.0144	-0.8540
656	-1.3077	-0.0248	-1.2828
657	0.9838	-0.1038	1.0876
658	-0.7000	0.3218	-1.0217
659	-0.7856	0.1717	-0.9572
660	0.6886	-0.1397	0.8283
661	0.9515	-0.1005	1.0520
662	1.0214	-0.1001	1.1215
663	-0.9666	0.0170	-0.9837
664	-0.7755	-0.1170	-0.6585
665	-1.1005	0.0039	-1.1044
666	-0.9226	-0.1424	-0.7802
667	0.9612	0.0802	0.8811
668	-0.9213	-0.0344	-0.8870
669	-0.5498	0.1652	-0.7150
670	-1.1107	-0.0441	-1.0665
671	-0.9036	-0.0907	-0.8129
672	-1.0963	0.1228	-1.2191
673	1.0622	-0.0301	1.0923
674	-1.0761	0.1569	-1.2330
675	-1.0375	-0.2116	-0.8259
676	-0.8668	0.1135	-0.9803
677	1.2571	0.0275	1.2297
678	1.0888	0.0749	1.0140
679	0.4891	-0.2166	0.7057
680	-1.2661	-0.2483	-1.0178
681	0.9623	0.1520	0.8103
682	1.0331	-0.0861	1.1192
683	0.9243	0.0037	0.9206
684	0.9143	-0.1112	1.0256
685	-0.9358	0.0453	-0.9810
686	-0.9319	-0.0524	-0.8795
687	-0.9411	-0.1056	-0.8355
688	-1.3377	-0.1822	-1.1555
689	-0.9176	-0.0374	-0.8802
690	1.0610	0.1603	0.9007
691	0.7904	-0.1478	0.9382
692	-0.8812	0.0249	-0.9061
693	1.1947	0.0522	1.1425
694	0.9709	-0.2008	1.1718
695	-1.4064	-0.1801	-1.2263
696	1.2919	0.0974	1.1944
697	1.2253	0.2833	0.9420
698	-0.9229	-0.1922	-0.7307
699	0.8042	-0.1597	0.9640
700	-0.6450	0.0917	-0.7367
701	-0.9195	0.1259	-1.0453
702	1.0149	0.0923	0.9226
703	0.5673	-0.1811	0.7484
704	-1.1593	0.0831	-1.2424
705	0.8844	-0.0103	0.8947
706	0.8610	0.1509	0.7101
707	1.0423	-0.1340	1.1763
708	0.8800	-0.0048	0.8848
709	0.8929	-0.1465	1.0394
710	-0.8228	0.1137	-0.9365
711	0.8983	-0.1017	1.0001
712	1.0378	-0.0082	1.0460
713	-1.1440	-0.0155	-1.1285
714	1.0644	-0.0368	1.1012
715	1.4821	0.2026	1.2796
716	-0.8912	0.0911	-0.9822
717	1.2451	0.0421	1.2030
718	0.9650	-0.0888	1.0539
719	-1.2693	-0.1699	-1.0995
720	0.7186	-0.0242	0.7428
721	-1.0302	0.0250	-1.0552
722	0.8689	0.0693	0.7996
723	0.7797	-0.2170	0.9967
724	0.9465	0.0737	0.8728
725	-0.8639	0.0431	-0.9070
726	-0.6936	0.0902	-0.7838
727	-0.8688	-0.0287	-0.8401
728	-0.7194	0.0305	-0.7499
729	-0.9693	-0.0852	-0.8841
730	-1.2889	-0.0517	-1.2371
731	0.9871	0.0812	0.9059
732	-0.9820	0.2157	-1.1977
733	-1.1467	0.0071	-1.1538
734	-0.8046	0.2116	-1.0162
735	1.0138	0.0692	0.9446
736	0.8219	-0.0629	0.8848
737	1.2483	0.0008	1.2475
738	1.2125	0.0648	1.1476
739	-1.2386	-0.3421	-0.8965
740	1.0880	-0.0430	1.1309
741	1.2857	0.3253	0.9603
742	-0.7538	0.1115	-0.8653
743	-1.2664	-0.1144	-1.1520
744	-0.8526	0.0368	-0.8895
745	-0.9724	0.0277	-1.0000
746	-1.1562	-0.1170	-1.0392
747	-0.8882	0.1945	-1.0827
748	-0.8230	0.1756	-0.9986
749	-0.8596	-0.0443	-0.8152
750	-1.1911	-0.0515	-1.1396
751	-0.8717	0.0240	-0.8957
752	-0.8630	0.1508	-1.0138
753	-0.9153	0.0002	-0.9155
754	0.8018	-0.0053	0.8071
755	-1.2255	-0.1682	-1.0573
756	1.0883	0.0500	1.0383
757	-1.2156	0.0102	-1.2258
758	0.8173	-0.1757	0.9930
759	-0.6267	0.1779	-0.8046
760	0.7234	-0.1653	0.8886
761	0.9067	-0.0893	0.9960
762	-0.8256	0.0898	-0.9153
763	-0.9114	-0.0193	-0.8922
764	0.9724	-0.1388	1.1112
765	1.0835	-0.0210	1.1045
766	-0.9804	-0.0105	-0.9699
767	0.5930	-0.2571	0.8501
768	-1.0358	0.1624	-1.1981
769	1.0574	0.0549	1.0025
770	-1.1427	-0.2373	-0.9054
771	0.5044	-0.1814	0.6859
772	-0.8737	0.1540	-1.0277
773	-0.6216	0.1318	-0.7533
774	0.9203	-0.1322	1.0525
775	0.6990	-0.1670	0.8660
776	-0.9972	-0.0996	-0.8975
777	-0.6111	0.1075	-0.7186
778	-0.6121	0.2964	-0.9085
779	-1.0818	-0.0243	-1.0575
780	-0.9887	-0.1332	-0.8555
781	1.1340	0.0358	1.0982
782	-0.7441	0.2166	-0.9607
783	1.2289	0.0717	1.1572
784	-1.1065	-0.0663	-1.0402
785	-1.0171	0.0955	-1.1126
786	-0.8565	0.1490	-1.0055
787	-1.1285	0.0173	-1.1459
788	0.6958	-0.0889	0.7848
789	1.1696	0.1986	0.9710
790	0.5914	-0.1411	0.7325
791	0.8976	-0.1092	1.0068
792	-0.8149	0.3165	-1.1314
793	-1.1148	-0.0112	-1.1036
794	1.3560	-0.0036	1.3596
795	1.1224	0.0040	1.1185
796	1.1565	-0.0450	1.2015
797	0.8831	-0.1319	1.0150
798	1.2487	0.1418	1.1069
799	1.4389	0.2567	1.1822
800	-0.8144	-0.0396	-0.7748
801	-1.1765	-0.1300	-1.0465
802	0.9307	0.0015	0.9292
803	-0.7022	0.0927	-0.7948
804	-1.1168	0.0773	-1.1941
805	-1.1109	-0.2019	-0.9091
806	-1.2345	-0.0976	-1.1369
807	1.0858	-0.0131	1.0989
808	-0.9865	0.1324	-1.1189
809	0.9197	-0.1014	1.0212
810	1.1272	-0.0611	1.1884
811	-0.7552	0.1161	-0.8712
812	1.0034	-0.0447	1.0481
813	-1.0406	0.0628	-1.1034
814	-0.8056	-0.0024	-0.8032
815	0.8813	0.0715	0.8098
816	-1.0185	-0.0887	-0.9298
817	-0.9179	0.0304	-0.9483
818	1.3695	0.1617	1.2078
819	0.7935	-0.0641	0.8576
820	1.1348	0.0286	1.1062
821	0.8018	-0.2006	1.0024
822	1.0430	-0.0561	1.0991
823	-0.9500	-0.0436	-0.9064
824	1.0510	0.1038	0.9472
825	0.9932	-0.1388	1.1320
826	-0.7206	0.1831	-0.9037
827	-1.1322	-0.1674	-0.9647
828	-1.1057	-0.1229	-0.9827
829	-0.9362	0.0070	-0.9432
830	-1.0113	0.0763	-1.0876
831	-1.1642	-0.1600	-1.0042
832	-1.0025	0.0364	-1.0389
833	0.8374	0.0279	0.8095
834	0.9003	-0.0837	0.9840
835	-0.8925	0.0228	-0.9153
836	1.0660	0.0597	1.0062
837	1.2607	0.0414	1.2193
838	1.1626	0.0870	1.0755
839	-1.4793	-0.3083	-1.1710
840	-0.9766	-0.0361	-0.9405
841	0.9532	-0.0482	1.0014
842	1.0175	0.0445	0.9730
843	-1.2045	-0.1784	-1.0261
844	1.0539	0.2160	0.8379
845	-0.9402	-0.0378	-0.9024
846	-1.0282	-0.0205	-1.0077
847	0.9513	-0.1999	1.1513
848	-1.2440	-0.0671	-1.1768
849	-0.8754	-0.1150	-0.7604
850	-1.5257	0.0502	-1.5759
851	-1.1579	-0.1677	-0.9902
852	1.4129	0.3686	1.0443
853	-1.0755	-0.0529	-1.0227
854	-1.0792	-0.1769	-0.9023
855	0.9606	-0.0762	1.0369
856	-0.9978	0.0716	-1.0694
857	-0.8494	0.0254	-0.8747
858	-0.8124	0.0612	-0.8735
859	1.3434	0.1489	1.1945
860	0.9959	-0.1338	1.1297
861	-0.8984	0.1080	-1.0064
862	-0.8654	0.1934	-1.0587
863	1.0533	-0.0829	1.1362
864	0.9346	0.1031	0.8315
865	1.1888	0.0126	1.1763
866	0.8456	-0.0701	0.9157
867	0.8599	0.0075	0.8524
868	1.2498	0.2398	1.0100
869	-0.9190	-0.0133	-0.9057
870	1.1582	0.0378	1.1204
871	0.8713	0.0652	0.8061
872	-0.9038	0.0797	-0.9835
873	-0.7059	0.2005	-0.9063
874	0.7547	-0.1360	0.8907
875	-1.2228	-0.0477	-1.1751
876	-1.2039	-0.1466	-1.0574
877	-0.7387	0.2129	-0.9516
878	1.0146	0.2042	0.8104
879	1.1541	0.0603	1.0938
880	-1.1056	-0.1189	-0.9867
881	-0.6598	0.0667	-0.7266
882	-0.9209	-0.0153	-0.9056
883	-1.0319	-0.0903	-0.9416
884	-1.1182	-0.1088	-1.0094
885	0.9853	0.1303	0.8550
886	1.2260	-0.0201	1.2461
887	1.0453	0.0762	0.9692
888	1.4846	0.1234	1.3611
889	0.9393	0.0309	0.9084
890	0.9473	-0.3191	1.2664
891	0.8242	-0.0419	0.8661
892	-1.1312	-0.0919	-1.0393
893	0.9906	-0.0209	1.0115
894	0.9770	0.1144	0.8626
895	-0.9246	0.0896	-1.0142
896	-1.0295	0.0257	-1.0552
897	0.8446	-0.1730	1.0176
898	0.7387	-0.0651	0.8039
899	1.1812	0.0191	1.1622
900	-0.8585	0.0357	-0.8942
901	1.0184	-0.0944	1.1128
902	-1.2192	-0.1970	-1.0221
903	0.8285	0.0411	0.7874
904	-0.7548	-0.0179	-0.7368
905	-1.3351	-0.1140	-1.2211
906	-0.9852	-0.1295	-0.8557
907	-1.1701	0.1202	-1.2904
908	-0.8006	0.0716	-0.8723
909	-0.9716	-0.0070	-0.9646
910	1.0747	-0.1308	1.2055
911	1.2455	-0.0236	1.2691
912	-0.7135	0.1352	-0.8487
913	-0.9523	-0.1337	-0.8186
914	1.2705	0.2804	0.9901
915	-1.0358	-0.0837	-0.9521
916	1.0365	0.1116	0.9249
917	0.8275	-0.2051	1.0327
918	-1.0359	0.0930	-1.1289
919	0.9193	0.0261	0.8932
920	-0.9879	0.1564	-1.1444
921	-1.3405	-0.0581	-1.2824
922	1.0531	0.0404	1.0127
923	1.1129	0.0417	1.0712
924	1.3959	0.1835	1.2124
925	-1.4727	-0.2866	-1.1861
926	-0.7781	0.1860	-0.9641
927	-0.8526	0.0600	-0.9126
928	-1.0566	-0.0562	-1.0004
929	-0.8990	-0.0408	-0.8582
930	-0.8451	0.2996	-1.1447
931	-1.0098	-0.2420	-0.7677
932	0.9264	0.0604	0.8660
933	0.9717	-0.1440	1.1156
934	0.8490	0.1061	0.7430
935	-1.3652	-0.3570	-1.0081
936	-0.9879	0.2213	-1.2092
937	-0.9350	-0.0298	-0.9052
938	-0.7350	0.2046	-0.9396
939	-0.9924	-0.0207	-0.9717
940	-1.2488	-0.1972	-1.0516
941	1.0250	-0.2019	1.2269
942	0.9323	0.0702	0.8621
943	1.3260	0.0177	1.3084
944	0.9043	0.0438	0.8605
945	1.1818	-0.0298	1.2115
946	-0.9454	0.1616	-1.1070
947	1.2427	-0.0916	1.3343
948	-0.9236	0.1176	-1.0412
949	-1.1512	-0.0845	-1.0667
950	1.2797	0.2093	1.0704
951	0.7939	-0.1793	0.9732
952	0.7825	-0.0688	0.8512
953	-0.8794	0.2321	-1.1115
954	0.5728	-0.2062	0.7789
955	-1.0635	-0.1466	-0.9168
956	1.1839	0.2494	0.9345
957	-1.2370	-0.1063	-1.1307
958	-1.1003	-0.0899	-1.0104
959	0.8084	-0.0672	0.8756
960	0.9138	-0.0739	0.9878
961	-0.9436	-0.1455	-0.7981
962	-0.7064	0.1870	-0.8934
963	-0.8381	0.1162	-0.9543
964	0.8299	-0.2467	1.0766
965	-0.9724	0.0337	-1.0062
966	-0.7085	0.1221	-0.8306
967	-0.9976	-0.1190	-0.8786
968	0.8679	-0.0399	0.9078
969	1.0642	0.1146	0.9496
970	0.7958	-0.1977	0.9935
971	-1.2069	0.0372	-1.2441
972	-1.3128	-0.1450	-1.1678
973	-1.1435	0.0160	-1.1594
974	0.8533	-0.1105	0.9638
975	0.7516	-0.0964	0.8480
976	-1.1431	-0.0189	-1.1242
977	-0.9504	0.0150	-0.9654
978	-0.5062	0.1585	-0.6648
979	0.8960	-0.1347	1.0307
980	-0.8639	-0.1265	-0.7374
981	-0.9859	0.0086	-0.9945
982	-1.1837	-0.0125	-1.1712
983	0.9082	-0.0549	0.9631
984	1.0609	0.1073	0.9536
985	1.1346	0.0794	1.0552
986	-0.7607	0.2271	-0.9878
987	-0.7698	0.0776	-0.8474
988	-1.1746	-0.0247	-1.1499
989	0.7063	-0.2471	0.9534
990	1.2426	0.1759	1.0667
991	-1.0433	0.0240	-1.0672
992	-0.6986	0.2153	-0.9139
993	1.1860	0.2445	0.9415
994	0.8263	-0.1621	0.9885
995	-0.5525	0.1958	-0.7483
996	-1.0325	0.0997	-1.1322
997	0.7586	-0.2041	0.9628
998	-0.8566	0.1383	-0.9948
999	-1.3681	0.0775	-1.4456
